id,pump,pump_size,pump_suction,pump_suction_style,pump_pressure,pump_pressure_style,pump_case,pump_case_style,pump_flange,pump_shaft_length,pump_coupling_code,pump_shaft_style,pump_class,rear_pump,front_pump
49,AZPF**019***RR***,19,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
50,AZPF**022***QR***,22,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
51,AZPF**022***RR***,22,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
52,AZPF**025***QR***,25,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
53,AZPF**025***RR***,25,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
54,AZPF**028***QR***,28,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
55,AZPF**028***RR***,28,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
56,AZPB**1.0***RR***,1,0.375,SAE,0.375,SAE,,,AA,1.06,1604,k,5,,
57,AZPB**2.0***RR***,2,0.5,SAE,0.375,SAE,,,AA,1.06,1604,k,5,,
58,AZPB**2.5***RR***,2.5,0.5,SAE,0.375,SAE,,,AA,1.06,1604,k,5,,
59,AZPB**3.1***RR***,3.1,0.5,SAE,0.625,SAE,,,AA,1.06,1604,k,5,,
60,AZPB**4.0***RR***,4,0.5,SAE,0.375,SAE,,,AA,1.06,1604,k,5,,
61,AZPB**4.5***RR***,4.5,0.5,SAE,0.375,SAE,,,AA,1.06,1604,k,5,,
62,AZPB**5.0***RR***,5,0.5,SAE,0.375,SAE,,,AA,1.06,1604,k,5,,
63,AZPB**6.3***RR***,6.3,0.625,SAE,0.5,SAE,,,AA,1.06,1604,k,5,,
64,AZPB**7.1***RR***,7.1,0.625,SAE,0.5,SAE,,,AA,1.06,1604,k,5,,
65,AZPG**022***DC***,22,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
66,AZPG**025***DC***,25,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
67,AZPG**028***DC***,28,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
68,AZPG**032***DC***,32,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
69,AZPG**036***DC***,36,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
70,AZPG**040***DC***,40,1.25,CD61,1,CD61,,,B,1.61,A1316C,s,7,,azpg
71,AZPG**045***DC***,45,1.25,CD61,1,CD61,,,B,1.61,A1316C,s,7,,azpg
72,AZPG**050***DC***,50,1.25,CD61,1,CD61,,,B,1.61,A1316C,s,7,,azpg
73,AZPG**056***DC***,56,1.5,CD61,1.25,CD61,,,B,1.61,A1316C,s,7,,azpg
74,AZPG**063***DC***,63,1.5,CD61,1.25,CD61,,,B,1.61,A1316C,s,7,,azpg
75,AZPG**070***DC***,70,1.5,CD61,1.25,CD61,,,B,1.61,A1316C,s,7,,azpg
76,AZPG**080***DC***,80,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
77,AZPG**100***DC***,100,1,CD61,0.75,CD61,,,B,1.61,A1316C,s,7,,azpg
